script,wake_model,seed,method,turbine_id,x,y,AEP [GWh],Surrogate AEP [GWh],runtime_sec,wd_step_deg,n_wd,ws,random_pct
ResultsSS,NOJ,1,SmartStart,68,427896.84210526315,6150118.736842105,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,69,426234.2105263158,6147156.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,70,429559.4736842105,6149131.157894737,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,71,424239.05263157893,6149871.842105263,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,72,429559.4736842105,6149871.842105263,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,73,427564.3157894737,6147896.684210527,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,74,426566.7368421053,6149624.947368421,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,75,424239.05263157893,6147896.684210527,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,76,425569.15789473685,6150365.631578947,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,77,428894.4210526316,6151847.0,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,78,429892.0,6148143.578947368,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,1,SmartStart,79,424571.5789473684,6150859.421052632,712.5999260931526,72.27765953724,121.50804469990544,10,36,9.6,10
ResultsSS,NOJ,2,Current Horns Rev,0,423974.0,6151447.0,701.8653557500002,70.47447376426608,0.0,10,36,9.6,10
